"","Strong","SensitiveLethality","SensitiveRecovery"
"AKT3;AR",-0.0914241032188823,-0.0914241032188823,NA
"AKT3;AURKA",-0.0467521148774541,-0.0467521148774541,NA
"AKT3;BMP6",-0.0359220777465888,-0.0359220777465888,NA
"AKT3;CCNE2",-0.0454267493009758,-0.0454267493009758,NA
"AKT3;CDC6",0.00244208136390028,0.0024420813639003,NA
"AKT3;CDK2",-0.0822806005904851,-0.0822806005904851,NA
"AKT3;CTNNB1",-0.126063397783509,-0.126063397783509,NA
"AKT3;DHFR",-0.0727292469990544,-0.0727292469990544,NA
"AKT3;ETF1",-0.132287056526764,NA,0.046195984071285
"AKT3;EZH2",-0.0527889413039994,-0.0527889413039994,NA
"AKT3;GART",-0.0504969639070358,-0.0504969639070358,NA
"AKT3;GRB2",-0.0974588931724299,-0.0974588931724299,NA
"AKT3;HDAC1",-0.102605223950997,-0.102605223950997,NA
"AKT3;HPRT1",-0.0742248716067622,-0.0742248716067622,NA
"AKT3;HSP90AA1",-0.00064172136418772,-0.00064172136418772,NA
"AKT3;HSP90B1",-0.0666447378418568,-0.0666447378418568,NA
"AKT3;IGF1R",-0.0498028520357617,-0.0498028520357617,NA
"AKT3;IGFBP5",-0.0723921389553117,-0.0723921389553117,NA
"AKT3;INSR",-0.0667681955720548,-0.0667681955720548,NA
"AKT3;IRS1",-0.126163797210436,-0.126163797210436,NA
"AKT3;JUN",-0.101692531377871,-0.101692531377871,NA
"AKT3;LIMK1",-0.0838293210703717,-0.0838293210703717,NA
"AKT3;MAP2K1",-0.0343160448298825,-0.0343160448298825,NA
"AKT3;MAP3K1",-0.040063230615108,-0.040063230615108,NA
"AKT3;MAPK1",-0.0508608136056352,-0.0508608136056352,NA
"AKT3;MAPK13",-0.083906732383735,-0.083906732383735,NA
"AKT3;MAPK3",-0.0519470382770211,-0.0519470382770211,NA
"AKT3;MAPK8",-0.0570185256242219,-0.0570185256242218,NA
"AKT3;MTOR",-0.0215039208096025,NA,0.0215039208096025
"AKT3;MYC",-0.074665913695361,-0.0746659136953611,NA
"AKT3;NRAS",-0.074683377958389,-0.074683377958389,NA
"AKT3;NXF2",-0.0714447064582345,-0.0714447064582345,NA
"AKT3;NXF2B",-0.101558557231409,-0.101558557231409,NA
"AKT3;PARP1",-0.0618740294550992,-0.0618740294550992,NA
"AKT3;PIK3CA",-0.0407916027292134,-0.0407916027292134,NA
"AKT3;PLD1",-0.123139370736021,-0.123139370736021,NA
"AKT3;PLK1",-0.137784196131823,NA,0.0721723135493539
"AKT3;POLD1",-0.0900570341887578,-0.0900570341887578,NA
"AKT3;PSMB2",-0.0629367861467705,NA,0.0629367861467705
"AKT3;PSMB5",-0.0481362983095592,NA,0.0481362983095592
"AKT3;RHEB",-0.078490928246364,-0.078490928246364,NA
"AKT3;TGFBR2",-0.0768392217200188,-0.0768392217200188,NA
"AKT3;TOP2A",-0.0544644909481544,-0.0544644909481544,NA
"AKT3;TRIB2",-0.0285773397912961,-0.0285773397912961,NA
"AKT3;TRIM25",-0.0647542034539515,-0.0647542034539515,NA
"AKT3;ULK1",-0.0739324212818641,-0.0739324212818641,NA
"AKT3;UPF2",-0.0671597514277905,-0.0671597514277905,NA
"AKT3;UPF3A",-0.0920012505508914,-0.0920012505508914,NA
"AKT3;WNT5A",-0.0236774503655898,-0.0236774503655897,NA
"AR;AURKA",0.014218624560945,0.014218624560945,NA
"AR;BMP6",-0.0870906986376644,-0.0870906986376644,NA
"AR;CCNE2",-0.117308343748364,-0.117308343748364,NA
"AR;CDC6",0.0580531100755972,0.0580531100755972,NA
"AR;CDK2",-0.0883605650041548,-0.0883605650041548,NA
"AR;CTNNB1",-0.121255477277877,-0.121255477277877,NA
"AR;DHFR",-0.143164489591064,-0.143164489591064,NA
"AR;ETF1",0.0947999328671462,NA,-0.113397447343246
"AR;EZH2",-0.0883827081315104,-0.0883827081315104,NA
"AR;GART",-0.142574850855221,-0.142574850855221,NA
"AR;GRB2",-0.0566120337124902,-0.0566120337124902,NA
"AR;HDAC1",-0.12684762210307,-0.12684762210307,NA
"AR;HPRT1",-0.150999670947478,-0.150999670947478,NA
"AR;HSP90AA1",-0.144854411052404,-0.144854411052404,NA
"AR;HSP90B1",-0.130363629465336,-0.130363629465336,NA
"AR;IGF1R",-0.0971509499613294,-0.0971509499613294,NA
"AR;IGFBP5",-0.0869810896943992,-0.0869810896943993,NA
"AR;INSR",-0.114459289768167,-0.114459289768167,NA
"AR;IRS1",-0.0177490383132366,-0.0177490383132366,NA
"AR;JUN",-0.171356996787034,-0.171356996787034,NA
"AR;LIMK1",-0.0915625852488984,-0.0915625852488984,NA
"AR;MAP2K1",-0.0779722304559831,-0.0779722304559831,NA
"AR;MAP3K1",-0.0465183136475823,-0.0465183136475823,NA
"AR;MAPK1",-0.0844168452062478,-0.0844168452062478,NA
"AR;MAPK13",-0.0950970862631698,-0.0950970862631698,NA
"AR;MAPK3",-0.0933662064227892,-0.0933662064227891,NA
"AR;MAPK8",-0.0831183138505785,-0.0831183138505785,NA
"AR;MTOR",0.0286003815313945,NA,-0.0286003815313945
"AR;MYC",-0.11171472670746,-0.11171472670746,NA
"AR;NRAS",-0.0575847258032902,-0.0575847258032902,NA
"AR;NXF2",-0.153047733839854,-0.153047733839854,NA
"AR;NXF2B",-0.12736513233227,-0.12736513233227,NA
"AR;PARP1",-0.059559268223903,-0.059559268223903,NA
"AR;PIK3CA",-0.0627613399856547,-0.0627613399856547,NA
"AR;PLD1",-0.0653300955275822,-0.0653300955275822,NA
"AR;PLK1",-0.0146016668827983,NA,0.0146016668827983
"AR;POLD1",-0.17112618995148,-0.17112618995148,NA
"AR;PSMB2",-0.0428568848188379,NA,0.0428568848188379
"AR;PSMB5",-0.017122011400777,NA,0.017122011400777
"AR;RHEB",-0.145190155821958,-0.145190155821958,NA
"AR;TGFBR2",-0.117180047447679,-0.117180047447679,NA
"AR;TOP2A",-0.122085224531184,-0.122085224531184,NA
"AR;TRIB2",-0.091924510488421,-0.091924510488421,NA
"AR;TRIM25",-0.144026994437454,-0.144026994437454,NA
"AR;ULK1",-0.13803614541965,-0.13803614541965,NA
"AR;UPF2",-0.0521893402074687,-0.0521893402074687,NA
"AR;UPF3A",-0.0626656324318706,-0.0626656324318706,NA
"AR;WNT5A",-0.113134406715158,-0.113134406715158,NA
"AURKA;BMP6",-0.00340978352115584,-0.00340978352115584,NA
"AURKA;CCNE2",0.00637899016103841,0.00637899016103841,NA
"AURKA;CDC6",0.0671502216446681,0.117852712881817,NA
"AURKA;CDK2",0.0898267738867474,0.128150254344074,NA
"AURKA;CTNNB1",-0.095413649131043,-0.095413649131043,NA
"AURKA;DHFR",0.151118482831293,0.151118482831293,NA
"AURKA;ETF1",-0.183268052755947,NA,-0.101234882022373
"AURKA;EZH2",-0.0167483882832101,-0.0167483882832101,NA
"AURKA;GART",-0.00764805723416037,-0.00764805723416037,NA
"AURKA;GRB2",-0.0104917974403954,-0.0104917974403954,NA
"AURKA;HDAC1",-0.0893714907133847,-0.0893714907133847,NA
"AURKA;HPRT1",-0.0687807328508587,-0.0687807328508587,NA
"AURKA;HSP90AA1",0.0234520742422479,0.0234520742422479,NA
"AURKA;HSP90B1",0.0395912488981853,0.0395912488981853,NA
"AURKA;IGF1R",0.138286366678718,0.138286366678718,NA
"AURKA;IGFBP5",-0.0312742424986793,-0.0312742424986793,NA
"AURKA;INSR",-0.053429931511904,-0.053429931511904,NA
"AURKA;IRS1",-0.0243085440812064,-0.0243085440812064,NA
"AURKA;JUN",-0.0506664435954711,-0.0506664435954711,NA
"AURKA;LIMK1",0.00188046211473308,0.00188046211473308,NA
"AURKA;MAP2K1",0.0266629727242973,0.0266629727242973,NA
"AURKA;MAP3K1",0.0349625066237745,0.0349625066237745,NA
"AURKA;MAPK1",0.0198942945460575,0.0198942945460575,NA
"AURKA;MAPK13",-0.0470819142989838,-0.0470819142989838,NA
"AURKA;MAPK3",-0.0057496475125628,-0.0057496475125628,NA
"AURKA;MAPK8",-0.0522693699611451,-0.052269369961145,NA
"AURKA;MTOR",-0.0620427697083501,NA,-0.127866523764154
"AURKA;MYC",0.0363244294316737,0.080396694285246,NA
"AURKA;NRAS",0.0395914215649475,0.0395914215649475,NA
"AURKA;NXF2",-0.0481556545825437,-0.0481556545825437,NA
"AURKA;NXF2B",-0.0997106299797997,-0.0997106299797997,NA
"AURKA;PARP1",0.0797136305077768,0.0797136305077768,NA
"AURKA;PIK3CA",0.102507873004212,0.102507873004212,NA
"AURKA;PLD1",-0.0726644764916801,-0.0726644764916801,NA
"AURKA;PLK1",-0.163975586833393,NA,-0.100048158071918
"AURKA;POLD1",-0.0286490086897332,-0.0286490086897332,NA
"AURKA;PSMB2",-0.118354278993027,NA,-0.0795241475894878
"AURKA;PSMB5",0.0220257145717439,NA,-0.146474645427317
"AURKA;RHEB",-0.0428733286405255,-0.0428733286405255,NA
"AURKA;TGFBR2",-0.0812472815849705,-0.0812472815849705,NA
"AURKA;TOP2A",0.113866283908511,0.113866283908511,NA
"AURKA;TRIB2",-0.0400190441975663,-0.0400190441975663,NA
"AURKA;TRIM25",0.00977664838132164,0.00977664838132167,NA
"AURKA;ULK1",0.0470634744984885,0.0470634744984885,NA
"AURKA;UPF2",0.0265859833068461,0.0265859833068461,NA
"AURKA;UPF3A",0.00337156499936606,0.00337156499936606,NA
"AURKA;WNT5A",0.0115626126822165,0.0115626126822165,NA
"BMP6;CCNE2",-0.0354404055463655,-0.0354404055463655,NA
"BMP6;CDC6",0.00416264501758254,0.00416264501758254,NA
"BMP6;CDK2",-0.0373690690841962,-0.0373690690841962,NA
"BMP6;CTNNB1",-0.171049422906018,-0.171049422906018,NA
"BMP6;DHFR",-0.0371058321004701,-0.0371058321004701,NA
"BMP6;ETF1",-0.16483504218371,NA,0.030991342754835
"BMP6;EZH2",-0.0821345299983361,-0.0821345299983361,NA
"BMP6;GART",-0.0197426884819717,-0.0197426884819717,NA
"BMP6;GRB2",-0.0284546889475201,-0.0284546889475201,NA
"BMP6;HDAC1",-0.101426494145919,-0.101426494145919,NA
"BMP6;HPRT1",-0.0355569051945354,-0.0355569051945354,NA
"BMP6;HSP90AA1",-0.0343916528388518,-0.0343916528388518,NA
"BMP6;HSP90B1",0.00310281166627088,0.00310281166627088,NA
"BMP6;IGF1R",0.00798044299712675,0.00798044299712676,NA
"BMP6;IGFBP5",-0.0929488620583913,-0.0929488620583913,NA
"BMP6;INSR",-0.043133277006644,-0.0431332770066441,NA
"BMP6;IRS1",-0.0532800061719223,-0.0532800061719223,NA
"BMP6;JUN",-0.0964315453972216,-0.0964315453972216,NA
"BMP6;LIMK1",-0.0719735412151494,-0.0719735412151494,NA
"BMP6;MAP2K1",-0.00154598654596028,-0.00154598654596028,NA
"BMP6;MAP3K1",0.012607645935337,0.0126076459353369,NA
"BMP6;MAPK1",-0.0278216222161556,-0.0278216222161556,NA
"BMP6;MAPK13",-0.0439763422716147,-0.0439763422716147,NA
"BMP6;MAPK3",-0.0241113628381073,-0.0241113628381073,NA
"BMP6;MAPK8",-0.079547534877113,-0.079547534877113,NA
"BMP6;MTOR",-0.0234685677810482,NA,-0.0157814903420107
"BMP6;MYC",0.0142790511790517,0.0142790511790517,NA
"BMP6;NRAS",-0.0244326198615114,-0.0244326198615114,NA
"BMP6;NXF2",-0.131232495570265,-0.131232495570265,NA
"BMP6;NXF2B",-0.101602636787952,-0.101602636787952,NA
"BMP6;PARP1",0.00082182412079404,0.000821824120794054,NA
"BMP6;PIK3CA",-0.018806548752566,-0.018806548752566,NA
"BMP6;PLD1",-0.112602972984475,-0.112602972984475,NA
"BMP6;PLK1",-0.113029366855912,NA,-0.00033514269995305
"BMP6;POLD1",0.00258080131088376,0.00258080131088376,NA
"BMP6;PSMB2",-0.0867918999533875,NA,0.0395727087203179
"BMP6;PSMB5",-0.0203549896897515,NA,0.0203549896897515
"BMP6;RHEB",-0.0128835643677364,-0.0128835643677365,NA
"BMP6;TGFBR2",-0.0372106104012046,-0.0372106104012046,NA
"BMP6;TOP2A",-0.0578913702852444,-0.0578913702852444,NA
"BMP6;TRIB2",-0.105489959830496,-0.105489959830496,NA
"BMP6;TRIM25",-0.0328124641015442,-0.0328124641015441,NA
"BMP6;ULK1",-0.0422920335571988,-0.0422920335571988,NA
"BMP6;UPF2",-0.0488245438359185,-0.0488245438359185,NA
"BMP6;UPF3A",-0.0159986150152598,-0.0159986150152598,NA
"BMP6;WNT5A",0.00284567419418841,0.00284567419418844,NA
"CCNE2;CDC6",0.0830495852034702,0.0830495852034702,NA
"CCNE2;CDK2",0.0542554686689812,0.0542554686689812,NA
"CCNE2;CTNNB1",-0.116746979891194,-0.116746979891194,NA
"CCNE2;DHFR",0.0363628312390546,0.0363628312390547,NA
"CCNE2;ETF1",-0.147482560926176,NA,-0.0380734499295123
"CCNE2;EZH2",-0.0948843972722156,-0.0948843972722157,NA
"CCNE2;GART",0.00972786095573497,0.00972786095573497,NA
"CCNE2;GRB2",-0.0352236894469897,-0.0352236894469897,NA
"CCNE2;HDAC1",-0.120634036268321,-0.120634036268321,NA
"CCNE2;HPRT1",-0.0222945014681475,-0.0222945014681475,NA
"CCNE2;HSP90AA1",0.087948569518755,0.087948569518755,NA
"CCNE2;HSP90B1",0.000309484201045179,0.000309484201045172,NA
"CCNE2;IGF1R",0.0933475214584495,0.0933475214584494,NA
"CCNE2;IGFBP5",-0.0467121272936423,-0.0467121272936423,NA
"CCNE2;INSR",-0.0768947907186361,-0.0768947907186361,NA
"CCNE2;IRS1",-0.0469830235552394,-0.0469830235552394,NA
"CCNE2;JUN",-0.1270486636333,-0.1270486636333,NA
"CCNE2;LIMK1",-0.0187196698580453,-0.0187196698580453,NA
"CCNE2;MAP2K1",-0.0163915789734068,-0.0163915789734068,NA
"CCNE2;MAP3K1",0.0475572674331024,0.0475572674331024,NA
"CCNE2;MAPK1",-0.0263401763637317,-0.0263401763637317,NA
"CCNE2;MAPK13",0.0154040162510919,0.0154040162510919,NA
"CCNE2;MAPK3",0.00932939252728651,0.00932939252728648,NA
"CCNE2;MAPK8",-0.119354849587143,-0.119354849587143,NA
"CCNE2;MTOR",0.0112504047713257,NA,-0.102212774321198
"CCNE2;MYC",0.0342860344010043,0.0342860344010043,NA
"CCNE2;NRAS",0.0147793998880097,0.0147793998880097,NA
"CCNE2;NXF2",-0.0769133707294502,-0.0769133707294502,NA
"CCNE2;NXF2B",-0.0982227200769224,-0.0982227200769224,NA
"CCNE2;PARP1",0.0516606363297636,0.0516606363297636,NA
"CCNE2;PIK3CA",0.0864600550025743,0.0864600550025743,NA
"CCNE2;PLD1",-0.118942234626011,-0.118942234626011,NA
"CCNE2;PLK1",-0.110654867227959,NA,-0.0544219537547191
"CCNE2;POLD1",-0.048071676481723,-0.0480716764817229,NA
"CCNE2;PSMB2",-0.0687631485452363,NA,-0.0301683541146464
"CCNE2;PSMB5",0.0948779398988756,NA,-0.120379946831817
"CCNE2;RHEB",0.0167512395360999,0.0167512395360999,NA
"CCNE2;TGFBR2",-0.0359323239043184,-0.0359323239043184,NA
"CCNE2;TOP2A",-0.000897613049146345,-0.000897613049146345,NA
"CCNE2;TRIB2",-0.0772710605107829,-0.0772710605107829,NA
"CCNE2;TRIM25",-0.0187341505783307,-0.0187341505783307,NA
"CCNE2;ULK1",-0.00364589110192151,-0.00364589110192151,NA
"CCNE2;UPF2",0.0568562935271825,0.0568562935271824,NA
"CCNE2;UPF3A",0.00522676933150271,0.00522676933150268,NA
"CCNE2;WNT5A",-0.0509030379041849,-0.050903037904185,NA
"CDC6;CDK2",0.0876580365154475,0.244792407470007,NA
"CDC6;CTNNB1",-0.0907529151388037,-0.0907529151388037,NA
"CDC6;DHFR",0.101745866446909,0.162217472901365,NA
"CDC6;ETF1",-0.165063327365955,NA,-0.238250497909598
"CDC6;EZH2",-0.0113938989567297,-0.0113938989567297,NA
"CDC6;GART",0.0360233440376324,0.0360233440376324,NA
"CDC6;GRB2",0.00560623911614172,0.00560623911614172,NA
"CDC6;HDAC1",-0.0464266258586849,-0.0464266258586849,NA
"CDC6;HPRT1",-0.0249090442552355,-0.0249090442552355,NA
"CDC6;HSP90AA1",0.03714088225108,0.03714088225108,NA
"CDC6;HSP90B1",0.0454575799046382,0.073559881524032,NA
"CDC6;IGF1R",0.107571030417243,0.207048649251282,NA
"CDC6;IGFBP5",-0.0400248694176852,-0.0400248694176852,NA
"CDC6;INSR",0.00648092714229975,0.00648092714229972,NA
"CDC6;IRS1",0.0207408537488116,0.0207408537488116,NA
"CDC6;JUN",-0.00708389374905882,-0.00708389374905882,NA
"CDC6;LIMK1",0.0730132139194187,0.0730132139194187,NA
"CDC6;MAP2K1",0.077295215079579,0.077295215079579,NA
"CDC6;MAP3K1",0.0663004312749791,0.0663004312749791,NA
"CDC6;MAPK1",0.0303347209830038,0.0303347209830038,NA
"CDC6;MAPK13",0.0561918364160136,0.0561918364160136,NA
"CDC6;MAPK3",0.11726148457055,0.11726148457055,NA
"CDC6;MAPK8",0.0316756075023842,0.0316756075023842,NA
"CDC6;MTOR",-0.0199404707375394,NA,-0.288779713232198
"CDC6;MYC",0.0460130973029591,0.208896252653765,NA
"CDC6;NRAS",0.0719971204020737,0.0719971204020737,NA
"CDC6;NXF2",-0.0443832841281797,-0.0443832841281797,NA
"CDC6;NXF2B",-0.0739516028961855,-0.0739516028961856,NA
"CDC6;PARP1",0.139430215991085,0.139430215991085,NA
"CDC6;PIK3CA",0.0533788181953768,0.0533788181953768,NA
"CDC6;PLD1",0.023941674425374,0.023941674425374,NA
"CDC6;PLK1",-0.128305686880137,NA,-0.254528948522406
"CDC6;POLD1",-0.00931274110716285,-0.00931274110716285,NA
"CDC6;PSMB2",-0.0939504984513812,NA,-0.222738818628367
"CDC6;PSMB5",-0.0469609493048015,NA,-0.196298872048005
"CDC6;RHEB",0.0239323849424337,0.0239323849424337,NA
"CDC6;TGFBR2",0.0107939130648637,0.0107939130648637,NA
"CDC6;TOP2A",0.0378388852523576,0.146155342815262,NA
"CDC6;TRIB2",-0.0639174880935594,-0.0639174880935594,NA
"CDC6;TRIM25",-0.0636696682614236,-0.0636696682614236,NA
"CDC6;ULK1",0.00398807528295395,0.00398807528295395,NA
"CDC6;UPF2",0.0313786615123005,0.0313786615123005,NA
"CDC6;UPF3A",0.0373881418846272,0.0373881418846272,NA
"CDC6;WNT5A",-0.0144662500067694,-0.0144662500067694,NA
"CDK2;CTNNB1",-0.173518061287722,-0.173518061287722,NA
"CDK2;DHFR",0.0652420334583659,0.113334629133,NA
"CDK2;ETF1",-0.197696990417587,NA,-0.193237824078145
"CDK2;EZH2",-0.0700164112874868,-0.0700164112874868,NA
"CDK2;GART",0.00725192936331845,0.00725192936331845,NA
"CDK2;GRB2",-0.0155838174585698,-0.0155838174585698,NA
"CDK2;HDAC1",-0.0735004610786999,-0.0735004610786999,NA
"CDK2;HPRT1",0.0234897210124463,0.0234897210124463,NA
"CDK2;HSP90AA1",0.0648021503273423,0.0648021503273423,NA
"CDK2;HSP90B1",0.104448037919489,0.12017132875906,NA
"CDK2;IGF1R",0.147642015909293,0.23474062396351,NA
"CDK2;IGFBP5",-0.0554811252188951,-0.0554811252188951,NA
"CDK2;INSR",-0.0409138068376515,-0.0409138068376515,NA
"CDK2;IRS1",-0.0828779134055952,-0.0828779134055952,NA
"CDK2;JUN",-0.0690422388606059,-0.0690422388606059,NA
"CDK2;LIMK1",0.0399663707489468,0.0399663707489468,NA
"CDK2;MAP2K1",0.0804196763749446,0.0804196763749446,NA
"CDK2;MAP3K1",0.059654458919084,0.059654458919084,NA
"CDK2;MAPK1",-0.0246147018909585,-0.0246147018909585,NA
"CDK2;MAPK13",-0.0428296637362254,-0.0428296637362254,NA
"CDK2;MAPK3",0.0327476157663125,0.0327476157663125,NA
"CDK2;MAPK8",-0.0255259399564573,-0.0255259399564573,NA
"CDK2;MTOR",-0.025665083461777,NA,-0.270676089728138
"CDK2;MYC",0.0796608341341151,0.230164978705098,NA
"CDK2;NRAS",0.0504696977277946,0.0504696977277946,NA
"CDK2;NXF2",-0.110014344888324,-0.110014344888324,NA
"CDK2;NXF2B",-0.0515085664401002,-0.0515085664401002,NA
"CDK2;PARP1",0.0659606602762133,0.0659606602762133,NA
"CDK2;PIK3CA",0.13938085296696,0.13938085296696,NA
"CDK2;PLD1",-0.099372070344279,-0.099372070344279,NA
"CDK2;PLK1",-0.163430438113292,NA,-0.20702518650943
