"","Strong","SensitiveLethality","SensitiveRecovery"
"HPRT1;PLK1",-0.082221128908851,NA,-0.036810092018075
"HPRT1;POLD1",-0.0405175793828073,-0.0405175793828073,NA
"HPRT1;PSMB2",-0.107100978160805,NA,0.0542150755566746
"HPRT1;PSMB5",0.0040060266704493,NA,-0.0040060266704493
"HPRT1;RHEB",-0.0693666324287975,-0.0693666324287975,NA
"HPRT1;TGFBR2",-0.0815832407428642,-0.0815832407428642,NA
"HPRT1;TOP2A",-0.0214623438673257,-0.0214623438673257,NA
"HPRT1;TRIB2",-0.110151855277664,-0.110151855277664,NA
"HPRT1;TRIM25",-0.0642225615307658,-0.0642225615307659,NA
"HPRT1;ULK1",0.0116897077420628,0.0116897077420628,NA
"HPRT1;UPF2",-0.0446583874764497,-0.0446583874764497,NA
"HPRT1;UPF3A",-0.0118293399790298,-0.0118293399790298,NA
"HPRT1;WNT5A",-0.0259381331529978,-0.0259381331529978,NA
"HSP90AA1;HSP90B1",-0.000495273576472055,-0.000495273576472062,NA
"HSP90AA1;IGF1R",0.0338651723729498,0.0338651723729498,NA
"HSP90AA1;IGFBP5",-0.0991698582728506,-0.0991698582728506,NA
"HSP90AA1;INSR",-0.0594877591803399,-0.0594877591803399,NA
"HSP90AA1;IRS1",-0.0773604818703606,-0.0773604818703606,NA
"HSP90AA1;JUN",-0.0453557258323848,-0.0453557258323848,NA
"HSP90AA1;LIMK1",-0.021741015853449,-0.021741015853449,NA
"HSP90AA1;MAP2K1",0.0742449715117775,0.0742449715117775,NA
"HSP90AA1;MAP3K1",0.0158471625496798,0.0158471625496798,NA
"HSP90AA1;MAPK1",-0.00585509918532678,-0.00585509918532678,NA
"HSP90AA1;MAPK13",-0.010901808485564,-0.0109018084855641,NA
"HSP90AA1;MAPK3",0.011865843666289,0.011865843666289,NA
"HSP90AA1;MAPK8",-0.0662142085270423,-0.0662142085270424,NA
"HSP90AA1;MTOR",0.00559212837986361,NA,-0.0935776666934499
"HSP90AA1;MYC",0.00333442702226547,0.00333442702226547,NA
"HSP90AA1;NRAS",0.0325679555067269,0.0325679555067269,NA
"HSP90AA1;NXF2",-0.0726900542298365,-0.0726900542298365,NA
"HSP90AA1;NXF2B",-0.0719375534901859,-0.0719375534901859,NA
"HSP90AA1;PARP1",-0.0102158365423019,-0.0102158365423019,NA
"HSP90AA1;PIK3CA",0.0444488465953017,0.0444488465953017,NA
"HSP90AA1;PLD1",-0.0793371761629104,-0.0793371761629104,NA
"HSP90AA1;PLK1",-0.152029991240636,NA,-0.0100699985057562
"HSP90AA1;POLD1",-0.0337539376978278,-0.0337539376978278,NA
"HSP90AA1;PSMB2",-0.05098134841666,NA,-0.0449733230069371
"HSP90AA1;PSMB5",0.0161489700612943,NA,-0.0386741457579497
"HSP90AA1;RHEB",-0.0377568292624736,-0.0377568292624735,NA
"HSP90AA1;TGFBR2",-0.0129581473295128,-0.0129581473295128,NA
"HSP90AA1;TOP2A",0.0138863864950315,0.0138863864950315,NA
"HSP90AA1;TRIB2",-0.0563715277854881,-0.0563715277854882,NA
"HSP90AA1;TRIM25",-0.0294218265554911,-0.0294218265554911,NA
"HSP90AA1;ULK1",0.0835237603061772,0.0835237603061772,NA
"HSP90AA1;UPF2",0.102077782045688,0.102077782045688,NA
"HSP90AA1;UPF3A",0.064681673239427,0.064681673239427,NA
"HSP90AA1;WNT5A",-0.0233713209333407,-0.0233713209333406,NA
"HSP90B1;IGF1R",0.143721038894215,0.143721038894215,NA
"HSP90B1;IGFBP5",-0.0540975865700891,-0.0540975865700891,NA
"HSP90B1;INSR",-0.0444377209459187,-0.0444377209459187,NA
"HSP90B1;IRS1",-0.0973434455580774,-0.0973434455580774,NA
"HSP90B1;JUN",-0.045307412668134,-0.045307412668134,NA
"HSP90B1;LIMK1",-0.00289205441260532,-0.00289205441260532,NA
"HSP90B1;MAP2K1",0.0129968815736054,0.0129968815736054,NA
"HSP90B1;MAP3K1",0.0417424161688134,0.0417424161688134,NA
"HSP90B1;MAPK1",0.0277529496318745,0.0277529496318745,NA
"HSP90B1;MAPK13",-0.0359060533416313,-0.0359060533416313,NA
"HSP90B1;MAPK3",-0.0148348224263139,-0.0148348224263139,NA
"HSP90B1;MAPK8",-0.0940197251960301,-0.0940197251960301,NA
"HSP90B1;MTOR",-0.0462956746933851,NA,-0.121013429161365
"HSP90B1;MYC",0.0798922438313514,0.101364319067169,NA
"HSP90B1;NRAS",0.0485714199236897,0.0485714199236897,NA
"HSP90B1;NXF2",-0.173373338562668,-0.173373338562668,NA
"HSP90B1;NXF2B",-0.0866578421834472,-0.0866578421834472,NA
"HSP90B1;PARP1",0.0587413331797809,0.0587413331797809,NA
"HSP90B1;PIK3CA",0.0982939080770868,0.0982939080770868,NA
"HSP90B1;PLD1",-0.136950974180317,-0.136950974180317,NA
"HSP90B1;PLK1",-0.207535815576645,NA,-0.0338877397109114
"HSP90B1;POLD1",-0.0320379555404982,-0.0320379555404982,NA
"HSP90B1;PSMB2",-0.0992873116885465,NA,-0.0759909252762139
"HSP90B1;PSMB5",-0.00609914874304723,NA,-0.0957495924947715
"HSP90B1;RHEB",-0.0213824313702019,-0.0213824313702019,NA
"HSP90B1;TGFBR2",-0.07668470172813,-0.07668470172813,NA
"HSP90B1;TOP2A",0.0475064048297995,0.0475064048297995,NA
"HSP90B1;TRIB2",-0.0668552164768197,-0.0668552164768197,NA
"HSP90B1;TRIM25",-0.0671507709307188,-0.0671507709307188,NA
"HSP90B1;ULK1",0.0521442162665628,0.0521442162665628,NA
"HSP90B1;UPF2",0.0212505613778018,0.0212505613778018,NA
"HSP90B1;UPF3A",0.026197058975302,0.026197058975302,NA
"HSP90B1;WNT5A",-0.0415880933315884,-0.0415880933315884,NA
"IGF1R;IGFBP5",-0.0466925998922185,-0.0466925998922185,NA
"IGF1R;INSR",-0.0302354316255305,-0.0302354316255305,NA
"IGF1R;IRS1",-0.0375643439574728,-0.0375643439574728,NA
"IGF1R;JUN",-0.0716993751026723,-0.0716993751026723,NA
"IGF1R;LIMK1",0.0577364755698842,0.0577364755698842,NA
"IGF1R;MAP2K1",0.10185634391532,0.10185634391532,NA
"IGF1R;MAP3K1",0.0422431231985602,0.0422431231985602,NA
"IGF1R;MAPK1",0.0400096842451207,0.0400096842451207,NA
"IGF1R;MAPK13",0.0284666369532824,0.0284666369532824,NA
"IGF1R;MAPK3",0.066468500202877,0.066468500202877,NA
"IGF1R;MAPK8",-0.0231814739638323,-0.0231814739638323,NA
"IGF1R;MTOR",0.0819578878750832,NA,-0.320642308944478
"IGF1R;MYC",0.100613984988271,0.193461377438734,NA
"IGF1R;NRAS",0.0407629890704032,0.0407629890704032,NA
"IGF1R;NXF2",-0.0395982483716707,-0.0395982483716707,NA
"IGF1R;NXF2B",-0.0747476427254214,-0.0747476427254214,NA
"IGF1R;PARP1",0.122986576458452,0.122986576458452,NA
"IGF1R;PIK3CA",0.181940601501715,0.181940601501715,NA
"IGF1R;PLD1",-0.0398887776199654,-0.0398887776199654,NA
"IGF1R;PLK1",-0.0766540630038797,NA,-0.236144809498321
"IGF1R;POLD1",-0.0115316363007433,-0.0115316363007433,NA
"IGF1R;PSMB2",-0.087871320831666,NA,-0.15878223334774
"IGF1R;PSMB5",0.0475658425878872,NA,-0.220789901040351
"IGF1R;RHEB",-0.0169244140821672,-0.0169244140821672,NA
"IGF1R;TGFBR2",-0.026770297384862,-0.026770297384862,NA
"IGF1R;TOP2A",0.139974440930107,0.178255135592668,NA
"IGF1R;TRIB2",-0.0833876396783154,-0.0833876396783154,NA
"IGF1R;TRIM25",0.00152641619294416,0.00152641619294414,NA
"IGF1R;ULK1",0.0794746044095953,0.0794746044095953,NA
"IGF1R;UPF2",0.0670849328122887,0.0670849328122887,NA
"IGF1R;UPF3A",0.0144151426888139,0.0144151426888139,NA
"IGF1R;WNT5A",-0.000124341588216198,-0.000124341588216198,NA
"IGFBP5;INSR",-0.0992411995896858,-0.0992411995896858,NA
"IGFBP5;IRS1",-0.0736031195867692,-0.0736031195867692,NA
"IGFBP5;JUN",-0.0936612461419862,-0.0936612461419862,NA
"IGFBP5;LIMK1",-0.0501683278778543,-0.0501683278778544,NA
"IGFBP5;MAP2K1",-0.0402464182783037,-0.0402464182783037,NA
"IGFBP5;MAP3K1",-0.057145706789732,-0.057145706789732,NA
"IGFBP5;MAPK1",-0.033465931302282,-0.033465931302282,NA
"IGFBP5;MAPK13",-0.0536586314312482,-0.0536586314312482,NA
"IGFBP5;MAPK3",-0.0392434365524534,-0.0392434365524534,NA
"IGFBP5;MAPK8",-0.030289062782875,-0.030289062782875,NA
"IGFBP5;MTOR",0.00124048434597795,NA,-0.00124048434597795
"IGFBP5;MYC",-0.0773953664450284,-0.0773953664450284,NA
"IGFBP5;NRAS",-0.0189322884365904,-0.0189322884365904,NA
"IGFBP5;NXF2",-0.119142107706322,-0.119142107706322,NA
"IGFBP5;NXF2B",-0.100129158927393,-0.100129158927393,NA
"IGFBP5;PARP1",-0.0457145051555058,-0.0457145051555057,NA
"IGFBP5;PIK3CA",-0.0502110389913403,-0.0502110389913403,NA
"IGFBP5;PLD1",-0.0642427001248299,-0.0642427001248299,NA
"IGFBP5;PLK1",-0.0623549616762664,NA,0.0187368501883471
"IGFBP5;POLD1",-0.117693768136153,-0.117693768136153,NA
"IGFBP5;PSMB2",-0.0533649045635573,NA,0.0533649045635573
"IGFBP5;PSMB5",0.0259410443054113,NA,-0.0259410443054113
"IGFBP5;RHEB",-0.101171075083064,-0.101171075083064,NA
"IGFBP5;TGFBR2",-0.0295830545388528,-0.0295830545388529,NA
"IGFBP5;TOP2A",-0.0890166044985908,-0.0890166044985908,NA
"IGFBP5;TRIB2",-0.0928300485624042,-0.0928300485624042,NA
"IGFBP5;TRIM25",-0.130553987255049,-0.130553987255049,NA
"IGFBP5;ULK1",-0.091676824103513,-0.091676824103513,NA
"IGFBP5;UPF2",-0.0792356338450829,-0.0792356338450829,NA
"IGFBP5;UPF3A",-0.0955576337819298,-0.0955576337819298,NA
"IGFBP5;WNT5A",-0.0853081174792305,-0.0853081174792305,NA
"INSR;IRS1",-0.102019763604016,-0.102019763604016,NA
"INSR;JUN",-0.117104183943941,-0.117104183943941,NA
"INSR;LIMK1",-0.020208815014697,-0.020208815014697,NA
"INSR;MAP2K1",-0.0126411631608707,-0.0126411631608707,NA
"INSR;MAP3K1",-0.070708290858503,-0.070708290858503,NA
"INSR;MAPK1",-0.0595701943182538,-0.0595701943182539,NA
"INSR;MAPK13",-0.0183931856398246,-0.0183931856398246,NA
"INSR;MAPK3",-0.0488774586860756,-0.0488774586860757,NA
"INSR;MAPK8",-0.104704605039893,-0.104704605039893,NA
"INSR;MTOR",0.0179328940017145,NA,-0.0179328940017145
"INSR;MYC",-0.0489014756053481,-0.0489014756053481,NA
"INSR;NRAS",-0.0517810499598577,-0.0517810499598577,NA
"INSR;NXF2",-0.0872837425193919,-0.0872837425193919,NA
"INSR;NXF2B",-0.0967533507189773,-0.0967533507189773,NA
"INSR;PARP1",-0.0769645381956636,-0.0769645381956636,NA
"INSR;PIK3CA",-0.0451506574656977,-0.0451506574656977,NA
"INSR;PLD1",-0.116298374290585,-0.116298374290585,NA
"INSR;PLK1",-0.0258263328175719,NA,-0.0411027882907924
"INSR;POLD1",-0.111569248164965,-0.111569248164965,NA
"INSR;PSMB2",-0.0363141026129029,NA,0.0355302998273342
"INSR;PSMB5",-0.00514939680645987,NA,0.00514939680645987
"INSR;RHEB",-0.0709728712788196,-0.0709728712788196,NA
"INSR;TGFBR2",-0.0964966497208872,-0.0964966497208872,NA
"INSR;TOP2A",-0.0503298459503997,-0.0503298459503997,NA
"INSR;TRIB2",-0.0928751464412693,-0.0928751464412693,NA
"INSR;TRIM25",-0.0282589138993644,-0.0282589138993643,NA
"INSR;ULK1",-0.0603452353128752,-0.0603452353128751,NA
"INSR;UPF2",-0.112458044252525,-0.112458044252525,NA
"INSR;UPF3A",-0.0601446727374977,-0.0601446727374977,NA
"INSR;WNT5A",-0.0733965853002556,-0.0733965853002556,NA
"IRS1;JUN",-0.0689532272038406,-0.0689532272038407,NA
"IRS1;LIMK1",-0.0322335524630296,-0.0322335524630296,NA
"IRS1;MAP2K1",-0.0472290391169843,-0.0472290391169842,NA
"IRS1;MAP3K1",-0.0378938596201057,-0.0378938596201057,NA
"IRS1;MAPK1",-0.0686000411948949,-0.0686000411948948,NA
"IRS1;MAPK13",-0.0337409383640266,-0.0337409383640267,NA
"IRS1;MAPK3",-0.086596818070949,-0.086596818070949,NA
"IRS1;MAPK8",-0.0422567599383054,-0.0422567599383054,NA
"IRS1;MTOR",0.0492074044977779,NA,-0.0492074044977779
"IRS1;MYC",-0.0499050833365774,-0.0499050833365774,NA
"IRS1;NRAS",-0.0313775274669991,-0.0313775274669991,NA
"IRS1;NXF2",-0.115000225782776,-0.115000225782776,NA
"IRS1;NXF2B",-0.0826395928202222,-0.0826395928202222,NA
"IRS1;PARP1",-0.0379784555155168,-0.0379784555155168,NA
"IRS1;PIK3CA",-0.0652462557245655,-0.0652462557245655,NA
"IRS1;PLD1",-0.0906056704435193,-0.0906056704435192,NA
"IRS1;PLK1",0.0302182315498506,NA,-0.040307790849037
"IRS1;POLD1",-0.131227671870799,-0.131227671870799,NA
"IRS1;PSMB2",0.00147466082973913,NA,-0.00147466082973913
"IRS1;PSMB5",-0.0232927517317282,NA,0.0232927517317282
"IRS1;RHEB",-0.0761287384239907,-0.0761287384239908,NA
"IRS1;TGFBR2",-0.110957125397316,-0.110957125397316,NA
"IRS1;TOP2A",-0.0155232196578112,-0.0155232196578112,NA
"IRS1;TRIB2",-0.0680298380744988,-0.0680298380744988,NA
"IRS1;TRIM25",-0.0441117961068834,-0.0441117961068834,NA
"IRS1;ULK1",-0.127824140966368,-0.127824140966368,NA
"IRS1;UPF2",-0.110164721764362,-0.110164721764362,NA
"IRS1;UPF3A",-0.116302243451592,-0.116302243451592,NA
"IRS1;WNT5A",-0.0791961259160825,-0.0791961259160825,NA
"JUN;LIMK1",-0.0391652155458303,-0.0391652155458303,NA
"JUN;MAP2K1",-0.0863150910330578,-0.0863150910330578,NA
"JUN;MAP3K1",-0.0814789063981675,-0.0814789063981675,NA
"JUN;MAPK1",-0.107472208956024,-0.107472208956024,NA
"JUN;MAPK13",-0.112789373952742,-0.112789373952742,NA
"JUN;MAPK3",-0.0848583644551084,-0.0848583644551084,NA
"JUN;MAPK8",-0.115142957897338,-0.115142957897338,NA
"JUN;MTOR",0.0133650845828394,NA,-0.0133650845828394
"JUN;MYC",-0.090158373181601,-0.090158373181601,NA
"JUN;NRAS",-0.0971740887655775,-0.0971740887655775,NA
"JUN;NXF2",-0.129976062592844,-0.129976062592844,NA
"JUN;NXF2B",-0.0594677099674956,-0.0594677099674956,NA
"JUN;PARP1",-0.0918419304153395,-0.0918419304153395,NA
"JUN;PIK3CA",-0.0760925328327361,-0.0760925328327361,NA
"JUN;PLD1",-0.0697862694494348,-0.0697862694494347,NA
"JUN;PLK1",-0.00220056468765617,NA,-0.012001382630509
"JUN;POLD1",-0.13174839565003,-0.13174839565003,NA
"JUN;PSMB2",-0.0289396376587542,NA,0.0289396376587542
"JUN;PSMB5",-0.0643181247725607,NA,0.0643181247725607
"JUN;RHEB",-0.133787783644463,-0.133787783644463,NA
"JUN;TGFBR2",-0.114567661893521,-0.114567661893521,NA
"JUN;TOP2A",-0.109692269004864,-0.109692269004864,NA
"JUN;TRIB2",-0.0948428311572719,-0.0948428311572719,NA
"JUN;TRIM25",-0.0966922598581472,-0.0966922598581472,NA
"JUN;ULK1",-0.117730260277823,-0.117730260277823,NA
"JUN;UPF2",-0.0815522666839802,-0.0815522666839802,NA
"JUN;UPF3A",-0.128819678406236,-0.128819678406236,NA
"JUN;WNT5A",-0.122178740155619,-0.122178740155619,NA
"LIMK1;MAP2K1",0.0351772958827765,0.0351772958827765,NA
"LIMK1;MAP3K1",-0.0256515200998668,-0.0256515200998668,NA
"LIMK1;MAPK1",-0.0195696061087454,-0.0195696061087455,NA
"LIMK1;MAPK13",0.00136390879997816,0.00136390879997819,NA
"LIMK1;MAPK3",-0.0499570483285086,-0.0499570483285086,NA
"LIMK1;MAPK8",-0.0270468770190617,-0.0270468770190617,NA
"LIMK1;MTOR",0.107496227445569,NA,-0.107496227445569
"LIMK1;MYC",-0.0127540651116917,-0.0127540651116917,NA
"LIMK1;NRAS",0.00785232616010684,0.00785232616010684,NA
"LIMK1;NXF2",-0.0235301558047912,-0.0235301558047912,NA
"LIMK1;NXF2B",-0.0380343450845722,-0.0380343450845722,NA
"LIMK1;PARP1",0.0200930201575156,0.0200930201575156,NA
"LIMK1;PIK3CA",0.0404517237373976,0.0404517237373976,NA
"LIMK1;PLD1",-0.0192999948689886,-0.0192999948689885,NA
"LIMK1;PLK1",0.00296297207815055,NA,-0.0404961486840503
"LIMK1;POLD1",-0.0564066612244955,-0.0564066612244955,NA
"LIMK1;PSMB2",0.00255409106687599,NA,-0.00255409106687599
"LIMK1;PSMB5",0.0933313048405146,NA,-0.0933313048405145
"LIMK1;RHEB",-0.0487249156204488,-0.0487249156204488,NA
"LIMK1;TGFBR2",-0.0421643832929449,-0.0421643832929449,NA
"LIMK1;TOP2A",-0.0211503655266631,-0.0211503655266631,NA
"LIMK1;TRIB2",-0.0139631929030655,-0.0139631929030655,NA
"LIMK1;TRIM25",-0.0644594232921632,-0.0644594232921631,NA
"LIMK1;ULK1",-0.01618967284018,-0.01618967284018,NA
"LIMK1;UPF2",-0.0808877525240811,-0.0808877525240811,NA
"LIMK1;UPF3A",-0.0514145170929014,-0.0514145170929015,NA
"LIMK1;WNT5A",0.00673807817305822,0.00673807817305824,NA
"MAP2K1;MAP3K1",0.0580269742580364,0.0580269742580364,NA
"MAP2K1;MAPK1",0.0540393221786709,0.0540393221786709,NA
"MAP2K1;MAPK13",-0.0146815158060326,-0.0146815158060325,NA
"MAP2K1;MAPK3",0.0761444162357081,0.0761444162357081,NA
"MAP2K1;MAPK8",-0.0297834523410037,-0.0297834523410037,NA
"MAP2K1;MTOR",0.0713756323546763,NA,-0.137324681564813
"MAP2K1;MYC",0.0702181231881365,0.0702181231881365,NA
"MAP2K1;NRAS",0.0722043565699666,0.0722043565699665,NA
"MAP2K1;NXF2",-0.0833631931516316,-0.0833631931516316,NA
"MAP2K1;NXF2B",-0.0799000472033571,-0.0799000472033571,NA
"MAP2K1;PARP1",0.068178365973053,0.068178365973053,NA
"MAP2K1;PIK3CA",0.221938462760385,0.221938462760385,NA
"MAP2K1;PLD1",-0.0492194176006609,-0.0492194176006608,NA
"MAP2K1;PLK1",-0.0225238141790524,NA,-0.117539686463891
"MAP2K1;POLD1",-0.0150166862443241,-0.0150166862443241,NA
"MAP2K1;PSMB2",-0.0237642828979211,NA,-0.0501538994222267
"MAP2K1;PSMB5",0.0953047911660857,NA,-0.0957934777592919
"MAP2K1;RHEB",-0.0190703847975529,-0.0190703847975529,NA
"MAP2K1;TGFBR2",-0.0148507570983525,-0.0148507570983525,NA
"MAP2K1;TOP2A",0.0380511413226358,0.0380511413226358,NA
"MAP2K1;TRIB2",-0.0973911198409839,-0.0973911198409839,NA
"MAP2K1;TRIM25",-0.0322244110829174,-0.0322244110829174,NA
"MAP2K1;ULK1",0.020160254308343,0.020160254308343,NA
"MAP2K1;UPF2",0.0190945396905524,0.0190945396905523,NA
"MAP2K1;UPF3A",0.0700071386091757,0.0700071386091757,NA
"MAP2K1;WNT5A",-0.0261382982089922,-0.0261382982089922,NA
"MAP3K1;MAPK1",-0.0210336550013822,-0.0210336550013822,NA
"MAP3K1;MAPK13",-0.0712852014126168,-0.0712852014126168,NA
"MAP3K1;MAPK3",0.03675867212228,0.03675867212228,NA
"MAP3K1;MAPK8",-0.0358368565774174,-0.0358368565774174,NA
"MAP3K1;MTOR",0.0020392030001356,NA,-0.0760671705162584
"MAP3K1;MYC",0.0242186036264455,0.0242186036264455,NA
"MAP3K1;NRAS",0.0945617821183848,0.0945617821183848,NA
"MAP3K1;NXF2",-0.086799135784336,-0.086799135784336,NA
"MAP3K1;NXF2B",-0.0911591945336642,-0.0911591945336643,NA
"MAP3K1;PARP1",0.0172028552620692,0.0172028552620692,NA
"MAP3K1;PIK3CA",0.0667233597284956,0.0667233597284956,NA
"MAP3K1;PLD1",-0.0709598264226729,-0.0709598264226729,NA
"MAP3K1;PLK1",-0.0600473960129093,NA,-0.0880950229360199
"MAP3K1;POLD1",-0.0245403285509237,-0.0245403285509237,NA
"MAP3K1;PSMB2",-0.0637241510053352,NA,-0.0182729496207984
"MAP3K1;PSMB5",0.0616781268335755,NA,-0.0702457317327674
"MAP3K1;RHEB",-0.00344921833447828,-0.00344921833447828,NA
"MAP3K1;TGFBR2",-0.00764895632231105,-0.00764895632231105,NA
"MAP3K1;TOP2A",-0.0203021148163027,-0.0203021148163027,NA
